eventID,targetUserName,serviceName,ticketEncryptionType,ticketOptions,preAuthType,status,ipAddress,agent.name,timestamp,label
4769,WINDOWSCLIENT$@LAB.LOCAL,WINDOWSCLIENT$,0x12,0x40810000, ,0x0,::ffff:192.168.100.30,win-server,"Apr 27, 2026 @ 17:48:29.484",0
4624,WINDOWSCLIENT$, , , , , ,::1,win-client,"Apr 27, 2026 @ 17:48:29.486",0
4769,WINDOWSCLIENT$@LAB.LOCAL,krbtgt,0x12,0x60810010, ,0x0,::ffff:192.168.100.30,win-server,"Apr 27, 2026 @ 17:48:29.497",0
4624,WINDOWSCLIENT$, , , , , , ,win-client,"Apr 27, 2026 @ 17:48:30.728",0
4769,WINDOWSCLIENT$@LAB.LOCAL,WINDOWSCLIENT$,0x12,0x40810000, ,0x0,::ffff:192.168.100.30,win-server,"Apr 27, 2026 @ 17:48:31.702",0
4768,Administrator,krbtgt,0x12,0x40810010,2,0x0,::1,win-server,"Apr 27, 2026 @ 18:09:14.504",0
4624,user1, , , , , , ,win-client,"Apr 27, 2026 @ 18:21:11.219",0
4768,user1,krbtgt,0x12,0x40810010,2,0x0,::ffff:192.168.100.30,win-server,"Apr 27, 2026 @ 18:23:08.112",0
4769,WINDOWSCLIENT$@LAB.LOCAL,DC193$,0x12,0x40810000, ,0x0,::ffff:192.168.100.30,win-server,"Apr 27, 2026 @ 18:20:59.276",0
4769,WINDOWSCLIENT$@LAB.LOCAL,DC193$,0x12,0x40800000, ,0x0,::ffff:192.168.100.30,win-server,"Apr 27, 2026 @ 18:21:00.443",0
4624,SYSTEM, , , , , , ,win-client,"Apr 27, 2026 @ 19:18:13.410",0
4624,SYSTEM, , , , , , ,win-client,"Apr 27, 2026 @ 19:28:10.686",0
4769,user1@LAB.LOCAL,DC193$,0x12,0x40810000, ,0x0,::ffff:192.168.100.30,win-server,"Apr 27, 2026 @ 19:28:57.191",0
4768,Administrator,krbtgt,0x12,0x40810010,2,0x0,::ffff:192.168.100.30,win-server,"Apr 27, 2026 @ 19:28:04.864",0
